L/R,X-Axis,Y-Axis,Board,Port
L,-8,0,L2,5
L,-8,1,L2,4
L,-8,2,L2,3
L,-8,3,L2,2
L,-8,4,L2,1
L,-7,0,L2,10
L,-7,1,L2,9
L,-7,2,L2,8
L,-7,3,L2,7
L,-7,4,L2,6
L,-6,0,L2,15
L,-6,1,L2,14
L,-6,2,L2,13
L,-6,3,L2,12
L,-6,4,L2,11
L,-5,0,L2,21
L,-5,1,L2,22
L,-5,2,L2,23
L,-5,3,L2,24
L,-5,4,L2,25
L,-4,0,L2,16
L,-4,1,L2,17
L,-4,2,L2,18
L,-4,3,L2,19
L,-4,4,L2,20
L,-3,0,L1,6
L,-3,1,L1,5
L,-3,2,L1,4
L,-3,3,L1,3
L,-3,4,L1,2
L,-2,0,L1,27
L,-2,1,L1,28
L,-2,2,L1,29
L,-2,3,L1,30
L,-2,4,L1,31
L,-1,0,L1,8
L,-1,1,L1,7
L,-1,2,L1,24
L,-1,3,L1,25
L,-1,4,L1,26
L,0,0,L1,10
L,0,1,L1,9
L,0,2,L1,21
L,0,3,L1,22
L,0,4,L1,23
L,1,0,L1,16
L,1,1,L1,17
L,1,2,L1,18
L,1,3,L1,19
L,1,4,L1,20
L,2,0,L1,15
L,2,1,L1,14
L,2,2,L1,13
L,2,3,L1,12
L,2,4,L1,11
L,3,0,L0,0
L,3,1,L0,26
L,3,2,L0,27
L,3,3,L0,28
L,3,4,L0,29
L,4,0,L0,5
L,4,1,L0,4
L,4,2,L0,3
L,4,3,L0,2
L,4,4,L0,1
L,5,0,L0,21
L,5,1,L0,22
L,5,2,L0,23
L,5,3,L0,24
L,5,4,L0,25
L,6,0,L0,10
L,6,1,L0,9
L,6,2,L0,8
L,6,3,L0,7
L,6,4,L0,6
L,8,0,L0,15
L,8,0,L0,16
L,8,1,L0,14
L,8,1,L0,17
L,8,2,L0,13
L,8,2,L0,18
L,8,3,L0,12
L,8,3,L0,19
L,8,4,L0,11
L,8,4,L0,20
R,-8,0,R0,15
R,-8,1,R0,16
R,-8,2,R0,17
R,-8,3,R0,18
R,-8,4,R0,19
R,-7,0,R0,14
R,-7,1,R0,13
R,-7,2,R0,12
R,-7,3,R0,11
R,-7,4,R0,10
R,-6,0,R0,5
R,-6,1,R0,6
R,-6,2,R0,7
R,-6,3,R0,8
R,-6,4,R0,9
R,-5,0,R0,3
R,-5,1,R0,4
R,-5,2,R0,22
R,-5,3,R0,21
R,-5,4,R0,20
R,-4,0,R0,2
R,-4,1,R0,1
R,-4,2,R0,23
R,-4,3,R0,24
R,-4,4,R0,25
R,-3,0,R0,0
R,-3,1,R0,31
R,-3,2,R0,30
R,-3,3,R0,29
R,-3,4,R0,28
R,-2,0,R1,14
R,-2,1,R1,15
R,-2,2,R1,16
R,-2,3,R1,17
R,-2,4,R1,18
R,-1,0,R1,7
R,-1,1,R1,8
R,-1,2,R1,9
R,-1,3,R1,10
R,-1,4,R1,11
R,0,0,R1,5
R,0,1,R1,6
R,0,2,R1,21
R,0,3,R1,22
R,0,4,R1,23
R,1,0,R1,27
R,1,1,R1,28
R,1,2,R1,29
R,1,3,R1,30
R,1,4,R1,31
R,2,0,R1,0
R,2,1,R1,1
R,2,2,R1,2
R,2,3,R1,3
R,2,4,R1,4
R,3,0,R2,14
R,3,1,R2,15
R,3,2,R2,16
R,3,3,R2,17
R,3,4,R2,18
R,4,0,R2,13
R,4,1,R2,22
R,4,2,R2,21
R,4,3,R2,20
R,4,4,R2,19
R,5,0,R2,8
R,5,1,R2,9
R,5,2,R2,10
R,5,3,R2,11
R,5,4,R2,12
R,6,0,R2,4
R,6,1,R2,5
R,6,2,R2,6
R,6,3,R2,7
R,6,4,R2,23
R,7,0,R2,0
R,7,1,R2,1
R,7,2,R2,2
R,7,3,R2,3
R,7,4,R2,31
R,8,0,R2,24
R,8,1,R2,25
R,8,2,R2,26
R,8,3,R2,27
R,8,4,R2,28
